# Rudder spanwise parametrisation, one station per row, root first
# source   : Wind_Tunnel_Rudder.stp
# frame    : origin at the root leading edge; +X LE->TE, +Y root->tip, +Z thickness
# units    : lengths mm, angles deg, shape parameters / chord
# sweep and dihedral: 'cumulative' is measured from the spanwise vertical through the
#            root reference point to the line joining it to that station's reference
#            point; 'local' is the tangent, d(offset)/d(span). Equal for a straight edge.
# twist    : angle of the section chord line, positive nose-up (LE on the +Z side)
# rows     : 200, y = 0.000000 up to 200.000000 mm
# load     : np.loadtxt(path)  -> (200, 23)
#
# columns
#    1  y                [ mm]  station height above the root
#    2  eta              [  -]  y / span
#    3  chord            [ mm]  true LE->TE length in the section plane
#    4  chord_x          [ mm]  chordwise projection of the chord
#    5  x_le             [ mm]  leading-edge x
#    6  z_le             [ mm]  leading-edge z
#    7  x_te             [ mm]  trailing-edge x
#    8  z_te             [ mm]  trailing-edge z
#    9  sweep_le         [deg]  cumulative LE sweep from the root LE, positive aft
#   10  sweep_c4         [deg]  cumulative quarter-chord sweep, positive aft
#   11  sweep_c2         [deg]  cumulative mid-chord sweep, positive aft
#   12  sweep_te         [deg]  cumulative TE sweep, positive aft
#   13  sweep_le_local   [deg]  local LE sweep, d(x_le)/d(span)
#   14  sweep_c4_local   [deg]  local quarter-chord sweep
#   15  rake             [ mm]  LE offset out of the planform plane (propeller rake)
#   16  dihedral         [deg]  cumulative dihedral / rake angle, positive toward +Z
#   17  dihedral_local   [deg]  local dihedral angle
#   18  twist            [deg]  section twist / pitch angle, positive nose-up
#   19  t_over_c         [  -]  maximum thickness / chord
#   20  x_tmax           [  -]  x/c of maximum thickness
#   21  camber           [  -]  maximum camber / chord, signed
#   22  x_cmax           [  -]  x/c of maximum camber, NaN on a symmetric section
#   23  r_le             [  -]  leading-edge radius / chord
#
# fitted form of each distribution
#   chord            linear                 mean +159.092041  spread 2.120e+01
#   chord_x          linear                 mean +159.092041  spread 2.120e+01
#   x_le             linear                 mean +7.000000  spread 7.000e+00
#   z_le             constant               mean -0.000000  spread 2.343e-05
#   x_te             linear                 mean +166.092041  spread 1.420e+01
#   z_te             constant               mean +0.000000  spread 2.307e-07
#   sweep_le         constant               mean +4.004173  spread 4.366e-11
#   sweep_c4         constant               mean +0.974568  spread 4.078e-11
#   sweep_c2         constant               mean -2.060491  spread 3.950e-11
#   sweep_te         constant               mean -8.079481  spread 3.038e-11
#   sweep_le_local   constant               mean +4.004173  spread 5.937e-09
#   sweep_c4_local   constant               mean +0.974568  spread 4.472e-09
#   rake             constant               mean -0.000000  spread 2.343e-05
#   dihedral         constant               mean -0.000000  spread 6.713e-06
#   dihedral_local   constant               mean -0.000013  spread 2.000e-03
#   twist            constant               mean -0.000000  spread 9.708e-06
#   t_over_c         linear                 mean +0.161986  spread 5.019e-04
#   x_tmax           constant               mean +0.303481  spread 9.406e-04
#   camber           constant               mean -0.000001  spread 1.051e-06
#   x_cmax           undetermined
#   r_le             constant               mean +0.027272  spread 9.216e-05
#
#                  y                  eta                chord              chord_x                 x_le                 z_le                 x_te                 z_te             sweep_le             sweep_c4             sweep_c2             sweep_te       sweep_le_local       sweep_c4_local                 rake             dihedral       dihedral_local                twist             t_over_c               x_tmax               camber               x_cmax                 r_le
        40.201005025          0.184348867        171.766780152        171.766780152          2.814070352          0.000000000        174.580850504          0.000000146          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000049          0.161714427          0.302977989         -0.000000592                  nan          0.027222425
        41.206030151          0.188957589        171.553759327        171.553759327          2.884422111          0.000000000        174.438181438          0.000000146          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000049          0.161718326          0.302985181         -0.000000592                  nan          0.027223134
        42.211055276          0.193566310        171.340738502        171.340738502          2.954773869          0.000000000        174.295512371          0.000000146          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000049          0.161722235          0.302992391         -0.000000592                  nan          0.027223845
        43.216080402          0.198175032        171.127717676        171.127717676          3.025125628          0.000000000        174.152843304          0.000000146          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000049          0.161726153          0.302999617         -0.000000592                  nan          0.027224557
        44.221105528          0.202783754        170.914696851        170.914696851          3.095477387          0.000000000        174.010174238          0.000000146          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000049          0.161730082          0.303006848         -0.000000205                  nan          0.027227475
        45.226130653          0.207392475        170.701676025        170.701676025          3.165829146          0.000000000        173.867505171          0.000000146          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000049          0.161734020          0.303014109         -0.000000205                  nan          0.027228191
        46.231155779          0.212001197        170.488655200        170.488655200          3.236180905          0.000000000        173.724836104          0.000000146          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000049          0.161737969          0.303021388         -0.000000205                  nan          0.027228910
        47.236180905          0.216609919        170.275634374        170.275634374          3.306532663          0.000000000        173.582167038          0.000000146          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000049          0.161741927          0.303028696         -0.000000592                  nan          0.027227428
        48.241206030          0.221218640        170.062613549        170.062613549          3.376884422          0.000000000        173.439497971          0.000000147          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000049          0.161745896          0.303036010         -0.000000592                  nan          0.027228151
        49.246231156          0.225827362        169.849592724        169.849592724          3.447236181          0.000000000        173.296828905          0.000000147          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000050          0.161749874          0.303043341         -0.000000592                  nan          0.027228876
        50.251256281          0.230436084        169.636571898        169.636571898          3.517587940          0.000000000        173.154159838          0.000000147          4.004172941          0.974568499         -2.060490840         -8.079481281          4.004172941          0.974568499          0.000000000          0.000000000          0.000000000         -0.000000050          0.161753863          0.303050689         -0.000000592                  nan          0.027229603
