# Rudder cross-sectional airfoil coordinates
# source        : Wind_Tunnel_Rudder.stp
# frame         : origin at the root leading edge; +X LE->TE, +Y root->tip, +Z thickness
# n_sections    : 200
# n_points      : 200 per section
# section order : TOP to BOTTOM, y = 200.000000 down to y = 0.000000 mm, evenly spaced
# point order   : Selig, TE -> upper -> LE -> lower -> TE
# columns       : x_mm y_mm in that section's own airfoil frame, x = 0 at its LE
#                 and growing aft, y = thickness with the +Z side positive
# 3D recovery   : X = x_le + x_mm,  Y = y_section,  Z = y_mm
# load          : np.loadtxt(path).reshape(200, 200, 2)
# top station   : y = 200.000000 mm, the top of the leading edge (top of the b-rep leading-edge curve)
#                 the tip surface is inclined, so horizontal cuts above this station
#                 cut through the tip blend instead of a complete airfoil and are
#                 not included here
#
# SECTION 1 / 200   y = 200.000000   chord = 137.896469   x_le = 14.000000   x_te = 151.896469
#               x_mm               y_mm
        54.911872657       10.904830502
        52.774471726       10.996621352
        50.653463650       11.073400686
        48.550984104       11.134609670
        46.469150107       11.179735873
        44.410057889       11.208308044
        42.375780782       11.219853833
        40.368367131       11.214003033
        38.389838230       11.190370084
        36.442186291       11.148657408
        34.527372434       11.088595261
        32.647324714       11.009988768
        30.803936180       10.912708109
        28.999062969       10.796645363
        27.234522433       10.661745852
        25.512091317       10.508022246
        23.833503961       10.335598694
        22.200450562       10.144571856
        20.614575466        9.935155536
        19.077475514        9.707594347
        17.590698436        9.462161853
        16.155741291        9.199245006
        14.774048958        8.919160418
        13.447012684        8.622349243
        12.175968684        8.309396264
        10.962196789        7.980685381
         9.806919166        7.636703324
         8.711299081        7.278097223
         7.676439731        6.905405484
         6.703383132        6.519233237
         5.793109069        6.120292589
         4.946534110        5.708725090
         4.164510685        5.285531985
         3.447826226        4.851392883
         2.797202372        4.406057728
         2.213294248        3.950921672
         1.696689798        3.486083221
         1.247909200        3.012342491
         0.867404338        2.529475572
         0.555558347        2.039449410
         0.312685231        1.540198178
         0.139029543        1.033141762
         0.034766137        0.518930421
         0.000000000       -0.000000229
         0.034074348       -0.512805316
         0.136263765       -1.022234402
         0.306467402       -1.524456319
         0.544517289       -2.019359395
         0.850178499       -2.505538379
         1.223149382       -2.983373543
         1.663061860       -3.453449581
         2.169481793       -3.914469635
         2.741909405       -4.365692980
         3.379779780       -4.807063746
         4.082463417       -5.238359590
         4.849266851       -5.658655428
         5.679433340       -6.067350318
         6.572143610       -6.464173030
         7.526516664       -6.848329553
         8.541610651       -7.219398385
         9.616423796       -7.576796179
        10.749895388       -7.919823731
        11.940906826       -8.248089743
        13.188282728       -8.561083654
        14.490792082       -8.858171951
        15.847149471       -9.139051549
        17.256016332       -9.403215768
        18.716002285       -9.650303504
        20.225666499       -9.879961702
        21.783519118      -10.091903783
        23.388022730      -10.285848049
        25.037593883      -10.461620200
        26.730604650      -10.619091330
        28.465384234      -10.758150568
        30.240220616      -10.878750020
        32.053362247      -10.980901630
        33.903019776      -11.064708825
        35.787367814      -11.130294672
        37.704546736      -11.177840163
        39.652664519      -11.207561245
        41.629798605      -11.219740363
        43.633997803      -11.214717407
        45.663284208      -11.192882158
        47.715655162      -11.154614657
        49.789085220      -11.100406214
        51.881528159      -11.030728104
        53.990918989      -10.946098276
        56.115175996      -10.847079968
        58.252202796      -10.734248176
        60.399890401      -10.608201151
        62.556119302      -10.469543861
        64.718761562      -10.318916363
        66.885682914      -10.156963466
        69.054744868       -9.984336029
        71.223806822       -9.801681471
        73.390728174       -9.609657285
        75.553370434       -9.408930037
        77.709599335       -9.200154393
        79.857286940       -8.983981047
        81.994313740       -8.761051432
        84.118570747       -8.532009646
        86.227961577       -8.297488645
        88.320404516       -8.058108038
        90.393834574       -7.814479233
        92.446205528       -7.567211722
        94.475491933       -7.316897211
        96.479691131       -7.064114443
        98.456825217       -6.809439102
       100.404943000       -6.553437802
       102.322121922       -6.296664828
       104.206469960       -6.039669932
       106.056127489       -5.782985436
       107.869269120       -5.527155409
       109.644105502       -5.272696582
       111.378885086       -5.020133751
       113.071895853       -4.769979547
       114.721467006       -4.522755874
       116.325970618       -4.278956460
       117.883823237       -4.039091640
       119.393487451       -3.803650747
       120.853473404       -3.573141291
       122.262340265       -3.348041743
       123.618697654       -3.128834306
       124.921207008       -2.916006375
       126.168582910       -2.710019367
       127.359594348       -2.511344569
       128.493065940       -2.320423717
       129.567879084       -2.137712436
       130.582973071       -1.963635877
       131.537346126       -1.798617111
       132.430056396       -1.643051266
       133.260222885       -1.497321198
       134.027026319       -1.361802279
       134.729709956       -1.236833735
       135.367580331       -1.122739769
       135.940007943       -1.019819328
       136.446427876       -0.928344043
       136.886340354       -0.848548910
       137.259311237       -0.780663397
       137.564972447       -0.721301898
       137.803022334       -0.604796257
       137.973225971       -0.431077508
       138.075415388       -0.223495734
       138.109489736        0.000000000
#
# SECTION 3 / 200   y = 197.989950   chord = 138.322511   x_le = 13.859296   x_te = 152.181807
#               x_mm               y_mm
       138.322510561        0.000000000
       138.287690801        0.225869369
       138.183266579        0.435289592
       138.009343042        0.609653156
       137.766095318        0.724585969
       137.453768334        0.784049472
       137.072676579        0.853404483
       136.623203780        0.934912503
       136.105802517        1.028347193
       135.520993769        1.133452020
       134.869366390        1.249952039
       134.151576512        1.377529500
       133.368346890        1.515854114
       132.520466170        1.664561953
       131.608788095        1.823279057
       130.634230648        1.991597290
       129.597775125        2.169106412
       128.500465150        2.355369022
       127.343405621        2.549941853
       126.127761598        2.752361335
       124.854757132        2.962154419
       123.525674030        3.178851866
       122.141850568        3.401954556
       120.704680136        3.630978080
       119.215609845        3.865409043
       117.676139062        4.104755959
       116.087817904        4.348500003
       114.452245674        4.596127095
       112.771069257        4.847121350
       111.045981453        5.100954119
       109.278719281        5.357097209
       107.471062223        5.615012899
       105.624830437        5.874169352
       103.741882921        6.134016510
       101.824115645        6.394004655
        99.873459637        6.653571304
        97.891879042        6.912149967
        95.881369145        7.169168130
        93.843954358        7.424025734
        91.781686186        7.676142446
        89.696641157        7.924907868
        87.590918735        8.169701874
        85.466639204        8.409899029
        83.325941534        8.644860255
        81.170981225        8.873941275
        79.003928141        9.096488551
        76.826964319        9.311841289
        74.642281778        9.519320131
        72.452080308        9.718252751
        70.258565256        9.907971027
        68.063945306       10.087774137
        65.870430254       10.257002289
        63.680228784       10.414980264
        61.495546242       10.561023075
        59.318582421       10.694493331
        57.151529336       10.814745324
        54.996569027       10.921149643
        52.855871357       11.013095001
        50.731591826       11.090006327
        48.625869405       11.151323076
        46.540824376       11.196532275
        44.478556203       11.225161917
        42.441141416       11.236739215
        40.430631519       11.230893061
        38.449050925       11.207236925
        36.498394917       11.165473415
        34.580627640       11.105332376
        32.697680125       11.026617876
        30.851448339       10.929200614
        29.043791280       10.812971696
        27.276529108       10.677877557
        25.551441305       10.523929632
        23.870264887       10.351252641
        22.234692658       10.159943840
        20.646371499        9.950216896
        19.106900716        9.722316774
        17.617830425        9.476517982
        16.180659994        9.213207544
        14.796836531        8.932702540
        13.467753430        8.635444772
        12.194748964        8.322020583
        10.979104941        7.992813075
         9.822045411        7.648311945
         8.724735436        7.289163015
         7.688279914        6.915907167
         6.713722467        6.529149596
         5.802044391        6.129604600
         4.954163671        5.717411633
         4.170934049        5.293575854
         3.453144172        4.858776610
         2.801516793        4.412765252
         2.216708045        3.956937432
         1.699306782        3.491391680
         1.249833982        3.016929130
         0.868742227        2.533328643
         0.556415244        2.042557478
         0.313167519        1.542542609
         0.139243982        1.034713814
         0.034819761        0.519718661
         0.000000000       -0.000000224
         0.034126905       -0.513584396
         0.136473939       -1.023790113
         0.306940099       -1.526777165
         0.545357155       -2.022433661
         0.851489819       -2.509355551
         1.225035974       -2.987916718
         1.665626976       -3.458709054
         2.172828013       -3.920430659
         2.746138541       -4.372339876
         3.384992771       -4.814380886
         4.088760230       -5.246332602
         4.856746386       -5.667266775
         5.688193329       -6.076581664
         6.582280520       -6.474005696
         7.538125605       -6.858744679
         8.554785278       -7.230375345
         9.631256220       -7.588314334
        10.766476084       -7.931859703
        11.959324546       -8.260621171
        13.208624406       -8.574086611
        14.513142758       -8.871622190
        15.871592200       -9.152923683
        17.282632105       -9.417483663
        18.744869948       -9.664940494
        20.256862676       -9.894941104
        21.817118136      -10.107197944
        23.424096543      -10.301428911
        25.076212004      -10.477459459
        26.771834080      -10.635160938
        28.509289397      -10.774421459
        30.286863296      -10.895193921
        32.102801527      -10.997490272
        33.955311978      -11.081413347
        35.842566444      -11.147087188
        37.762702433      -11.194692712
        39.713825004      -11.224446230
        41.694008632      -11.236630655
        43.701299117      -11.231586429
        45.733715505      -11.209703965
        47.789252047      -11.171364212
        49.865880175      -11.117058955
        51.961550509      -11.047259939
        54.074194875      -10.962486507
        56.201728348      -10.863302500
        58.342051309      -10.750283822
        60.493051519      -10.624029666
        62.652606199      -10.485146190
        64.818584130      -10.334273968
        66.988847754      -10.172059061
        69.161255281       -9.999153342
        71.333662808       -9.816205450
        73.503926431       -9.623873463
        75.669904362       -9.422825198
        77.829459042       -9.213716329
        79.980459252       -8.997198555
        82.120782214       -8.773914484
        84.248315687       -8.544508815
        86.360960053       -8.309615669
        88.456630386       -8.069855422
        90.533258515       -7.825840782
        92.588795056       -7.578181986
        94.621211444       -7.327471467
        96.628501929       -7.074289205
        98.608685558       -6.819211412
       100.559808128       -6.562805742
       102.479944118       -6.305627327
       104.367198584       -6.048226759
       106.219709034       -5.791137002
       108.035647265       -5.534903133
       109.813221165       -5.280042860
       111.550676482       -5.027081247
       113.246298558       -4.776532262
       114.898414018       -4.528918251
       116.505392425       -4.284734085
       118.065647885       -4.044490327
       119.577640613       -3.808677648
       121.039878456       -3.577803970
       122.450918361       -3.352348711
       123.809367803       -3.132794841
       125.113886155       -2.919630531
       126.363186016       -2.713317720
       127.556034477       -2.514328658
       128.691254341       -2.323105566
       129.767725283       -2.140105021
       130.784384957       -1.965752861
       131.740230041       -1.800472608
       132.634317233       -1.644660497
       133.465764175       -1.498699288
       134.233750331       -1.362965687
       134.937517790       -1.237798980
       135.576372020       -1.123523893
       136.149682548       -1.020440366
       136.656883586       -0.928819711
       137.097474587       -0.848898066
       137.471020742       -0.780904770
       137.777153406       -0.721540777
       138.015570462       -0.605142598
       138.186036622       -0.431376193
       138.288383657       -0.223663869
       138.322510561        0.000000000
#
# SECTION 4 / 200   y = 196.984925   chord = 138.535531   x_le = 13.788945   x_te = 152.324476
#               x_mm               y_mm
       138.535531387        0.000000000
       138.500658003        0.226039533
       138.396072964        0.435590015
       138.221881580        0.609998703
       137.978259247        0.724814155
       137.665451271        0.784295873
       137.283772623        0.853760836
       136.833607622        0.935397887
       136.315409545        1.028980582
       135.729700174        1.134251964
       135.077069269        1.250936390
       134.358173974        1.378715846
       133.573738155        1.517259503
       132.724551672        1.666202601
       131.811469586        1.825170818
       130.835411291        1.993755122
       129.797359596        2.171544848
       128.698359730        2.358101888
       127.539518294        2.552982041
       126.322002143        2.755721220
       125.047037212        2.965845613
       123.715907283        3.182885235
       122.329952690        3.406339963
       120.890568973        3.635724681
       119.399205469        3.870525438
       117.857363855        4.110249722
       116.266596634        4.354378043
       114.628505574        4.602395516
       112.944740094        4.853785268
       111.216995604        5.108018196
       109.447011794        5.364564925
       107.636570890        5.622886908
       105.787495851        5.882451847
       103.901648540        6.142708484
       101.980927844        6.403106436
       100.027267768        6.663082359
        98.042635479        6.922068898
        96.029029337        7.179492492
        93.988476870        7.434752519
        91.923032742        7.687267406
        89.834776681        7.936426002
        87.725811383        8.181607420
        85.598260398        8.422184722
        83.454265989        8.657518404
        81.295986977        8.886963020
        79.125596566        9.109864034
        76.945280154        9.325559639
        74.757233136        9.533369227
        72.563658690        9.732619846
        70.366765559        9.922642142
        68.168765828       10.102733987
        65.971872697       10.272235007
        63.778298251       10.430468481
        61.590251233       10.576748821
        59.409934821       10.710437414
        57.239544410       10.830887536
        55.081265397       10.937468792
        52.937270988       11.029568658
        50.809720003       11.106611975
        48.700754706       11.168036489
        46.612498644       11.213328684
        44.547054517       11.242015796
        42.506502050       11.253624605
        40.492895907       11.247783095
        38.508263619       11.224103772
        36.554603542       11.182289429
        34.633882847       11.122069497
        32.748035535       11.043246990
        30.898960497       10.945693126
        29.088519592       10.829298036
        27.318535783       10.694009268
        25.590791292       10.539837024
        23.907025813       10.366906594
        22.268934753       10.175315829
        20.678167532        9.965278262
        19.136325918        9.737039207
        17.644962414        9.490874117
        16.205578697        9.227170089
        14.819624104        8.946244668
        13.488494175        8.648540306
        12.213529244        8.334644907
        10.996013093        8.004940775
         9.837171657        7.659920572
         8.738171791        7.300228813
         7.700120096        6.926408856
         6.724061801        6.539065959
         5.810979714        6.138916615
         4.961793232        5.726098181
         4.177357413        5.301619729
         3.458462118        4.866160343
         2.805831213        4.419472780
         2.220121842        3.962953197
         1.701923765        3.496700144
         1.251758764        3.021515774
         0.870080116        2.537181718
         0.557272140        2.045665551
         0.313649806        1.544887044
         0.139458422        1.036285868
         0.034873384        0.520506903
         0.000000000       -0.000000218
         0.034179461       -0.514363478
         0.136684113       -1.025345826
         0.307412796       -1.529098015
         0.546197022       -2.025507932
         0.852801139       -2.513172727
         1.226922566       -2.992459897
         1.668192091       -3.463968532
         2.176174234       -3.926391688
         2.750367677       -4.378986776
         3.390205761       -4.821698030
         4.095057044       -5.254305619
         4.864225922       -5.675878127
         5.696953317       -6.085813016
         6.592417430       -6.483838367
         7.549734545       -6.869159810
         8.567959905       -7.241352311
         9.646088644       -7.599832495
        10.783056781       -7.943895680
        11.977742265       -8.273152605
        13.228966085       -8.587089573
        14.535493435       -8.885072435
        15.896034929       -9.166795824
        17.309247878       -9.431751563
        18.773737611       -9.679577488
        20.288058854       -9.909920511
        21.850717154      -10.122492111
        23.460170356      -10.317009779
        25.114830124      -10.493298725
        26.813063509      -10.651230552
        28.553194560      -10.790692356
        30.333505976      -10.911637828
        32.152240807      -11.014078921
        34.007604179      -11.098117875
        35.897765074      -11.163879710
        37.820858130      -11.211545267
        39.774985488      -11.241331222
        41.758218659      -11.253520954
        43.768600432      -11.248455459
        45.804146802      -11.226525778
        47.862848932      -11.188113776
        49.942675130      -11.133711703
        52.041572859      -11.063791782
        54.157470761      -10.978874746
        56.288280699      -10.879525039
        58.431899823      -10.766319475
        60.586212637      -10.639858189
        62.749093097      -10.500748527
        64.918406699      -10.349631581
        67.092012593      -10.187154664
        69.267765693      -10.013970662
        71.443518793       -9.830729437
        73.617124688       -9.638089650
        75.786438290       -9.436720367
        77.949318749       -9.227278274
        80.103631564       -9.010416071
        82.247250687       -8.786777543
        84.378060626       -8.557007991
        86.493958528       -8.321742701
        88.592856257       -8.081602814
        90.672682455       -7.837202339
        92.731384584       -7.589152258
        94.766930955       -7.338045731
        96.777312727       -7.084463976
        98.760545899       -6.828983731
       100.714673256       -6.572173691
       102.637766313       -6.314589835
       104.527927208       -6.056783596
       106.383290580       -5.799288577
       108.202025411       -5.542650866
       109.982336827       -5.287389148
       111.722467878       -5.034028754
       113.420701263       -4.783084987
       115.075361031       -4.535080639
       116.684814233       -4.290511722
       118.247472533       -4.049889026
       119.761793775       -3.813704562
       121.226283509       -3.582466661
       122.639496458       -3.356655691
       124.000037952       -3.136755388
       125.306565302       -2.923254701
       126.557789122       -2.716616087
       127.752474605       -2.517312761
       128.889442742       -2.325787430
       129.967571482       -2.142497622
       130.985796842       -1.967869862
       131.943113957       -1.802328120
       132.838578069       -1.646269744
       133.671305465       -1.500077395
       134.440474343       -1.364129111
       135.145325625       -1.238764242
       135.785163710       -1.124308035
       136.359357153       -1.021061422
       136.867339296       -0.929295393
       137.308608820       -0.849247240
       137.682730248       -0.781146162
       137.989334365       -0.721778413
       138.228118591       -0.605488514
       138.398847274       -0.431674882
       138.501351926       -0.223831769
       138.535531387        0.000000000
#
# SECTION 5 / 200   y = 195.979899   chord = 138.748552   x_le = 13.718593   x_te = 152.467145
#               x_mm               y_mm
       138.748552212        0.000000000
       138.713625204        0.226208793
       138.608879350        0.435890306
       138.434420119        0.610343129
       138.190423176        0.725041492
       137.877134207        0.784542293
       137.494868666        0.854117206
       137.044011464        0.935883289
       136.525016573        1.029613988
       135.938406579        1.135051926
       135.284772149        1.251920759
       134.564771435        1.379902209
       133.779129419        1.518664910
       132.928637175        1.667843266
       132.014151077        1.827062594
       131.036591934        1.995912969
       129.996944066        2.173983299
       128.896254310        2.360834770
       127.735630968        2.556022244
       126.516242688        2.759081118
       125.239317292        2.969536820
       123.906140535        3.186918616
       122.518054813        3.410725383
       121.076457810        3.640471245
       119.582801093        3.875641845
       118.038588647        4.115743496
       116.445375364        4.360256094
       114.804765474        4.608663948
       113.118410932        4.860449196
       111.388009754        5.115082283
       109.615304308        5.372032650
       107.802079557        5.630760927
       105.950161266        5.890734351
       104.061414159        6.151400467
       102.137740044        6.412208225
       100.181075898        6.672593423
        98.193391917        6.931987839
        96.176689528        7.189816864
        94.132999381        7.445479312
        92.064379299        7.698392374
        89.972912206        7.947944144
        87.860704032        8.193512974
        85.729881593        8.434470424
        83.582590445        8.670176561
        81.420992729        8.899984773
        79.247264990        9.123239525
        77.063595989        9.339277996
        74.872184494        9.547418331
        72.675237072        9.746986948
        70.474965862        9.937313264
        68.273586350       10.117693845
        66.073315140       10.287467732
        63.876367718       10.445956706
        61.684956223       10.592474575
        59.501287222       10.726381503
        57.327559483       10.847029755
        55.165961767       10.953787949
        53.018670620       11.046042322
        50.887848180       11.123217631
        48.775640007       11.184749910
        46.684172913       11.230125101
        44.615552831       11.258869683
        42.571862684       11.270510001
        40.555160295       11.264673137
        38.567476314       11.240970627
        36.610812168       11.199105450
        34.687138053       11.138806625
        32.798390946       11.059876112
        30.946472655       10.962185644
        29.133247904       10.845624382
        27.360542458       10.710140986
        25.630141280       10.555744423
        23.943786738       10.382560553
        22.303176848       10.190687824
        20.709963565        9.980339634
        19.165751119        9.751761646
        17.672094402        9.505230257
        16.230497400        9.241132639
        14.842411677        8.959786802
        13.509234920        8.661635846
        12.232309524        8.347269237
        11.012921244        8.017068481
         9.852297902        7.671529204
         8.751608146        7.311294616
         7.711960278        6.936910549
         6.734401135        6.548982328
         5.819915037        6.148228636
         4.969422793        5.734784733
         4.183780777        5.309663608
         3.463780064        4.873544080
         2.810145633        4.426180314
         2.223535639        3.968968966
         1.704540749        3.502008613
         1.253683546        3.026102423
         0.871418005        2.541034798
         0.558129036        2.048773628
         0.314132094        1.547231480
         0.139672862        1.037857924
         0.034927008        0.521295146
         0.000000000       -0.000000212
         0.034232017       -0.515142561
         0.136894287       -1.026901541
         0.307885493       -1.531418868
         0.547036888       -2.028582206
         0.854112459       -2.516989907
         1.228809159       -2.997003081
         1.670757207       -3.469228015
         2.179520454       -3.932352722
         2.754596813       -4.385633682
         3.395418752       -4.829015180
         4.101353858       -5.262278642
         4.871705457       -5.684489484
         5.705713306       -6.095044373
         6.602554340       -6.493671043
         7.561343485       -6.879574946
         8.581134531       -7.252329282
         9.660921069       -7.611350661
        10.799637478       -7.955931662
        11.996159984       -8.285684044
        13.249307764       -8.600092541
